Name,Region,Population,Area,PopulationDensity,CoastlineRatio,NetMigration,InfantMortality,GDP,Literacy,Phones,Climate,Birthrate,Deathrate,Agriculture,Industry,Latitude,Longitude
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,"48,0","0,00","23,06","163,07",700,"36,0","3,2",1,"46,6","20,34","0,38","0,24",33.93911,67.709953
Albania,EASTERN EUROPE,3581655,28748,"124,6","1,26","-4,93","21,52",4500,"86,5","71,2",3,"15,11","5,22","0,232","0,188",41.153332,20.168331
Algeria,NORTHERN AFRICA,32930091,2381740,"13,8","0,04","-0,39",31,6000,"70,0","78,1",1,"17,14","4,61","0,101","0,6",28.033886,1.659626
American Samoa,OCEANIA,57794,199,"290,4","58,29","-20,71","9,27",8000,"97,0","259,5",2,"22,46","3,27",,,-14.270972,-170.132217
Andorra,WESTERN EUROPE,71201,468,"152,1","0,00","6,6","4,05",19000,"100,0","497,2",3,"8,71","6,25",,,42.546245,1.601554
Angola,SUB-SAHARAN AFRICA,12127071,1246700,"9,7","0,13",0,"191,19",1900,"42,0","7,8",,"45,11","24,2","0,096","0,658",-11.202692,17.873887
Anguilla,LATIN AMER. & CARIB,13477,102,"132,1","59,80","10,76","21,03",8600,"95,0","460,0",2,"14,17","5,34","0,04","0,18",18.220554,-63.068615
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,"156,0","34,54","-6,15","19,46",11000,"89,0","549,9",2,"16,93","5,37","0,038","0,22",,
Argentina,LATIN AMER. & CARIB,39921833,2766890,"14,4","0,18","0,61","15,18",11200,"97,1","220,4",3,"16,73","7,55","0,095","0,358",-38.416097,-63.616672
Armenia,C.W. OF IND. STATES,2976372,29800,"99,9","0,00","-6,47","23,28",3500,"98,6","195,7",4,"12,07","8,23","0,239","0,343",40.069099,45.038189
Aruba,LATIN AMER. & CARIB,71891,193,"372,5","35,49",0,"5,89",28000,"97,0","516,1",2,"11,03","6,68","0,004","0,333",12.52111,-69.968338
Australia,OCEANIA,20264082,7686850,"2,6","0,34","3,98","4,69",29000,"100,0","565,5",1,"12,14","7,51","0,038","0,262",-25.274398,133.775136
Austria,WESTERN EUROPE,8192880,83870,"97,7","0,00",2,"4,66",30000,"98,0","452,2",3,"8,74","9,76","0,018","0,304",47.516231,14.550072
Azerbaijan,C.W. OF IND. STATES,7961619,86600,"91,9","0,00","-4,9","81,74",3400,"97,0","137,1",1,"20,74","9,75","0,141","0,457",40.143105,47.576927
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,"21,8","25,41","-2,2","25,21",16700,"95,6","460,6",2,"17,57","9,05","0,03","0,07",,
Bahrain,NEAR EAST,698585,665,"1050,5","24,21","1,05","17,27",16900,"89,1","281,3",1,"17,8","4,14","0,005","0,387",25.930414,50.637772
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,"1023,4","0,40","-0,71","62,6",1900,"43,1","7,3",2,"29,8","8,27","0,199","0,198",23.684994,90.356331
Barbados,LATIN AMER. & CARIB,279912,431,"649,5","22,51","-0,31","12,5",15700,"97,4","481,9",2,"12,71","8,67","0,06","0,16",13.193887,-59.543198
Belarus,C.W. OF IND. STATES,10293011,207600,"49,6","0,00","2,54","13,37",6100,"99,6","319,1",4,"11,16","14,02","0,093","0,316",53.709807,27.953389
Belgium,WESTERN EUROPE,10379067,30528,"340,0","0,22","1,23","4,68",29100,"98,0","462,6",3,"10,38","10,27","0,01","0,24",50.503887,4.469936
Belize,LATIN AMER. & CARIB,287730,22966,"12,5","1,68",0,"25,69",4900,"94,1","115,7",2,"28,84","5,72","0,142","0,152",17.189877,-88.49765
Benin,SUB-SAHARAN AFRICA,7862944,112620,"69,8","0,11",0,85,1100,"40,9","9,7",2,"38,85","12,22","0,316","0,138",9.30769,2.315834
Bermuda,NORTHERN AMERICA,65773,53,"1241,0","194,34","2,49","8,53",36000,"98,0","851,4",2,"11,4","7,74","0,01","0,1",32.321384,-64.75737
Bhutan,ASIA (EX. NEAR EAST),2279723,47000,"48,5","0,00",0,"100,44",1300,"42,2","14,3",2,"33,65","12,7","0,258","0,379",27.514162,90.433601
Bolivia,LATIN AMER. & CARIB,8989046,1098580,"8,2","0,00","-1,32","53,11",2400,"87,2","71,9","1,5","23,3","7,53","0,128","0,352",-16.290154,-63.588653
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,"88,0","0,04","0,31","21,05",6100,,"215,4",4,"8,77","8,27","0,142","0,308",43.915886,17.679076
Botswana,SUB-SAHARAN AFRICA,1639833,600370,"2,7","0,00",0,"54,58",9000,"79,8","80,5",1,"23,08","29,5","0,024","0,469",-22.328474,24.684866
Brazil,LATIN AMER. & CARIB,188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3",2,"16,56","6,17","0,084","0,4",-14.235004,-51.92528
British Virgin Is.,LATIN AMER. & CARIB,23098,153,"151,0","52,29","10,01","18,05",16000,"97,8","506,5",2,"14,89","4,42","0,018","0,062",,
Brunei,ASIA (EX. NEAR EAST),379444,5770,"65,8","2,79","3,59","12,61",18600,"93,9","237,2",2,"18,79","3,45","0,036","0,561",4.535277,114.727669
Bulgaria,EASTERN EUROPE,7385367,110910,"66,6","0,32","-4,58","20,55",7600,"98,6","336,3",3,"9,65","14,27","0,093","0,304",42.733883,25.48583
Burkina Faso,SUB-SAHARAN AFRICA,13902972,274200,"50,7","0,00",0,"97,57",1100,"26,6","7,0",2,"45,62","15,6","0,322","0,196",12.238333,-1.561593
Burma,ASIA (EX. NEAR EAST),47382633,678500,"69,8","0,28","-1,8","67,24",1800,"85,3","10,1",2,"17,91","9,83","0,564","0,082",21.913965,95.956223
Burundi,SUB-SAHARAN AFRICA,8090068,27830,"290,7","0,00","-0,06","69,29",600,"51,6","3,4",2,"42,22","13,46","0,463","0,203",-3.373056,29.918886
Cambodia,ASIA (EX. NEAR EAST),13881427,181040,"76,7","0,24",0,"71,48",1900,"69,4","2,6",2,"26,9","9,06","0,35","0,3",12.565679,104.990963
Cameroon,SUB-SAHARAN AFRICA,17340702,475440,"36,5","0,08",0,"68,26",1800,"79,0","5,7","1,5","33,89","13,47","0,448","0,17",7.369722,12.354722
Canada,NORTHERN AMERICA,33098932,9984670,"3,3","2,02","5,96","4,75",29800,"97,0","552,2",,"10,78","7,8","0,022","0,294",56.130366,-106.346771
Cape Verde,SUB-SAHARAN AFRICA,420979,4033,"104,4","23,93","-12,07","47,77",1400,"76,6","169,6",3,"24,87","6,55","0,121","0,219",16.002082,-24.013197
Cayman Islands,LATIN AMER. & CARIB,45436,262,"173,4","61,07","18,75","8,19",35000,"98,0","836,3",2,"12,74","4,89","0,014","0,032",19.513469,-80.566956
Central African Rep.,SUB-SAHARAN AFRICA,4303356,622984,"6,9","0,00",0,91,1100,"51,0","2,3",2,"33,91","18,65","0,55","0,2",,
Chad,SUB-SAHARAN AFRICA,9944201,1284000,"7,7","0,00","-0,11","93,82",1200,"47,5","1,3",2,"45,73","16,38","0,335","0,259",15.454166,18.732207
Chile,LATIN AMER. & CARIB,16134219,756950,"21,3","0,85",0,"8,8",9900,"96,2","213,0",3,"15,23","5,81","0,06","0,493",-35.675147,-71.542969
China,ASIA (EX. NEAR EAST),1313973713,9596960,"136,9","0,15","-0,4","24,18",5000,"90,9","266,7","1,5","13,25","6,97","0,125","0,473",35.86166,104.195397
Colombia,LATIN AMER. & CARIB,43593035,1138910,"38,3","0,28","-0,31","20,97",6300,"92,5","176,2",2,"20,48","5,58","0,125","0,342",4.570868,-74.297333
Comoros,SUB-SAHARAN AFRICA,690948,2170,"318,4","15,67",0,"74,93",700,"56,5","24,5",2,"36,93","8,2","0,4","0,04",-11.875001,43.872219
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,62660551,2345410,"26,7","0,00",0,"94,69",700,"65,5","0,2",2,"43,69","13,27","0,55","0,11",-4.038333,21.758664
"Congo, Repub. of the",SUB-SAHARAN AFRICA,3702314,342000,"10,8","0,05","-0,17","93,86",700,"83,8","3,7",2,"42,57","12,93","0,062","0,57",,
Cook Islands,OCEANIA,21388,240,"89,1","50,00",,,5000,"95,0","289,9",2,21,,"0,151","0,096",-21.236736,-159.777671
Costa Rica,LATIN AMER. & CARIB,4075261,51100,"79,8","2,52","0,51","9,95",9100,"96,0","340,7",2,"18,32","4,36","0,088","0,299",9.748917,-83.753428
Cote d'Ivoire,SUB-SAHARAN AFRICA,17654843,322460,"54,8","0,16","-0,07","90,83",1400,"50,9","14,6",2,"35,11","14,84","0,279","0,171",7.539989,-5.54708
Croatia,EASTERN EUROPE,4494749,56542,"79,5","10,32","1,58","6,84",10600,"98,5","420,4",,"9,61","11,48","0,07","0,308",45.1,15.2
Cuba,LATIN AMER. & CARIB,11382820,110860,"102,7","3,37","-1,58","6,33",2900,"97,0","74,7",2,"11,89","7,22","0,055","0,261",21.521757,-77.781167
Cyprus,NEAR EAST,784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6",,3,"12,56","7,68","0,037","0,198",35.126413,33.429859
Czech Republic,EASTERN EUROPE,10235455,78866,"129,8","0,00","0,97","3,93",15700,"99,9","314,3",3,"9,02","10,59","0,034","0,393",49.817492,15.472962
Denmark,WESTERN EUROPE,5450661,43094,"126,5","16,97","2,48","4,56",31100,"100,0","614,6",3,"11,13","10,36","0,018","0,246",56.26392,9.501785
Djibouti,SUB-SAHARAN AFRICA,486530,23000,"21,2","1,37",0,"104,13",1300,"67,9","22,8",1,"39,53","19,31","0,179","0,225",11.825138,42.590275
Dominica,LATIN AMER. & CARIB,68910,754,"91,4","19,63","-13,87","14,15",5400,"94,0","304,8",2,"15,27","6,73","0,177","0,328",15.414999,-61.370976
Dominican Republic,LATIN AMER. & CARIB,9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4",2,"23,22","5,73","0,112","0,306",18.735693,-70.162651
East Timor,ASIA (EX. NEAR EAST),1062777,15007,"70,8","4,70",0,"47,41",500,"58,6",,2,"26,99","6,24","0,085","0,231",,
Ecuador,LATIN AMER. & CARIB,13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6",2,"22,29","4,23","0,07","0,312",-1.831239,-78.183406
Egypt,NORTHERN AFRICA,78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8",1,"22,94","5,23","0,149","0,357",26.820553,30.802498
El Salvador,LATIN AMER. & CARIB,6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4",2,"26,61","5,78","0,099","0,302",13.794185,-88.89653
Equatorial Guinea,SUB-SAHARAN AFRICA,540109,28051,"19,3","1,06",0,"85,13",2700,"85,7","18,5",2,"35,59","15,06","0,03","0,906",1.650801,10.267895
Eritrea,SUB-SAHARAN AFRICA,4786994,121320,"39,5","1,84",0,"74,87",700,"58,6","7,9","1,5","34,33","9,6","0,102","0,254",15.179384,39.782334
Estonia,BALTICS,1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8",3,"10,04","13,25","0,04","0,294",58.595272,25.013607
Ethiopia,SUB-SAHARAN AFRICA,74777981,1127127,"66,3","0,00",0,"95,32",700,"42,7","8,2",2,"37,98","14,86","0,475","0,099",9.145,40.489673
Faroe Islands,WESTERN EUROPE,47246,1399,"33,8","79,84","1,41","6,24",22000,,"503,8",,"14,05","8,7","0,27","0,11",61.892635,-6.911806
Fiji,OCEANIA,905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6",2,"22,55","5,65","0,089","0,135",-16.578193,179.414413
Finland,WESTERN EUROPE,5231372,338145,"15,5","0,37","0,95","3,57",27400,"100,0","405,3",3,"10,45","9,86","0,028","0,295",61.92411,25.748151
France,WESTERN EUROPE,60876136,547030,"111,3","0,63","0,66","4,26",27600,"99,0","586,4",4,"11,99","9,14","0,022","0,214",46.227638,2.213749
French Guiana,LATIN AMER. & CARIB,199509,91000,"2,2","0,42","6,27","12,07",8300,"83,0","255,6",2,"20,46","4,88","0,066","0,156",3.933889,-53.125782
French Polynesia,OCEANIA,274578,4167,"65,9","60,60","2,94","8,44",17500,"98,0","194,5",2,"16,68","4,69","0,031","0,19",-17.679742,-149.406843
Gabon,SUB-SAHARAN AFRICA,1424906,267667,"5,3","0,33",0,"53,64",5500,"63,2","27,4",2,"36,16","12,25","0,061","0,592",-0.803689,11.609444
"Gambia, The",SUB-SAHARAN AFRICA,1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8",2,"39,37","12,25","0,308","0,142",,
Gaza Strip,NEAR EAST,1428757,360,"3968,8","11,11","1,6","22,93",600,,"244,3",3,"39,45","3,8","0,03","0,283",,
Georgia,C.W. OF IND. STATES,4661473,69700,"66,9","0,44","-4,7","18,59",2500,"99,0","146,6",3,"10,41","9,23","0,172","0,275",42.315407,43.356892
Germany,WESTERN EUROPE,82422299,357021,"230,9","0,67","2,18","4,16",27600,"99,0","667,9",3,"8,25","10,62","0,009","0,296",51.165691,10.451526
Ghana,SUB-SAHARAN AFRICA,22409572,239460,"93,6","0,23","-0,64","51,43",2200,"74,8","14,4",2,"30,52","9,72","0,366","0,246",7.946527,-1.023194
